,phase,pid,total_trials,trial_id,filter_cost,n_starting_guesses,whose_guess,true_word,guess,guess_number,human_guess_number,time_elapsed_curr,time_elapsed_trial,n_green,n_yellow,current_time,start_time,uniqueid,true_code,prev_exp,age,n_remaining_prev,n_remaining_post
142,TEST,1517314,10,5,Simple,2,Human,1222,2344,8,6,2.384,15.316,0,1,1714756659222,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,2,1
143,TEST,1517314,10,5,Simple,2,Human,1222,2323,9,7,3.727,19.043,1,1,1714756662949,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
144,TEST,1517314,10,5,Simple,2,Human,1222,4423,10,8,4.446,23.489,1,0,1714756667395,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
145,TEST,1517314,10,5,Simple,2,Human,1222,3223,11,9,1.967,25.456,2,0,1714756669362,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
146,TEST,1517314,10,5,Simple,2,Human,1222,4323,12,10,4.329,29.785,1,0,1714756673691,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
147,TEST,1517314,10,5,Simple,2,Human,1222,4242,13,11,2.949,32.734,2,0,1714756676640,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
148,TEST,1517314,10,5,Simple,2,Human,1222,3413,14,12,2.762,35.496,0,1,1714756679402,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
149,TEST,1517314,10,5,Simple,2,Human,1222,3223,15,13,4.818,40.314,2,0,1714756684220,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
150,TEST,1517314,10,5,Simple,2,Human,1222,3332,16,14,1.406,41.72,1,0,1714756685626,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,1,1
151,TEST,1517314,10,6,Max-EIG,1,Model,2232,4234,0,0,0.0,0.0,2,0,1714756687749,1714756687749,debug6jSBD:debugfAo4W,2232,0,25,256,29
152,TEST,1517314,10,6,Max-EIG,1,Human,2232,1111,1,0,1.731,1.731,0,0,1714756689480,1714756687749,debug6jSBD:debugfAo4W,2232,0,25,29,9
153,TEST,1517314,10,6,Max-EIG,1,Human,2232,1111,2,1,1.293,3.024,0,0,1714756690773,1714756687749,debug6jSBD:debugfAo4W,2232,0,25,9,9
154,TEST,1517314,10,6,Max-EIG,1,Human,2232,4211,3,2,1.409,4.433,1,0,1714756692182,1714756687749,debug6jSBD:debugfAo4W,2232,0,25,9,6
155,TEST,1517314,10,6,Max-EIG,1,Human,2232,1111,4,3,2.637,7.07,0,0,1714756694819,1714756687749,debug6jSBD:debugfAo4W,2232,0,25,6,6
156,TEST,1517314,10,6,Max-EIG,1,Human,2232,3333,5,4,2.671,9.741,1,0,1714756697490,1714756687749,debug6jSBD:debugfAo4W,2232,0,25,6,1
